classe_num,avgNote_w24,ndevoir_w24,log_w24,logMonday_w24,logSunday_w24,logWed_w24,logThursday_w24,DiffDaysWeek,log_resource,log_core,logviewed_w24,logviewedCore_w24,logviewedResource_w24,logViewedTargetCourse_w24,logViewedTargetCourseModule_w24,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,15.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,17.75,4,1080,368,0,256,200,0,272,808,1080,808,272,808,272,0,0,6,0,0
1,13.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
1,17.3333,3,24,16,0,8,0,0,0,24,24,24,0,24,0,1,0,3,0,0
1,14.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18.25,4,104,0,56,0,0,0,32,72,104,72,32,72,32,0,0,6,0,0
1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,16.5,2,40,0,0,0,0,0,16,24,40,24,16,24,16,0,0,6,0,0
1,14,1,16,0,0,16,0,0,0,16,16,16,0,16,0,0,0,2,0,0
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,19.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,13.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,17.5,4,104,40,0,64,0,0,48,56,104,56,48,56,48,0,0,6,0,0
1,16.6667,3,32,0,32,0,0,0,8,24,32,24,8,24,8,0,0,5,0,0
1,16,3,48,0,0,0,0,0,24,24,48,24,24,24,24,0,0,3,0,0
1,17.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,15.3333,3,136,0,0,0,48,0,64,72,136,72,64,72,64,0,0,3,0,0
1,14,2,90,0,0,0,72,0,27,63,90,63,27,63,27,0,0,4,0,0
1,16.6667,3,128,0,0,0,0,0,56,72,128,72,56,72,56,0,0,5,0,0
1,19,4,1448,72,352,264,96,0,536,912,1448,912,536,912,536,0,0,6,0,0
-1,8.66667,3,224,96,0,80,0,0,72,152,224,152,72,152,72,0,0,4,1,0
