classe_num,avgNote_w34,ndevoir_w34,log_34,logMonday_w34,logSunday_w34,logWed_w34,logThursday_w34,DiffDaysWeek,log_resource,log_core,logviewed_w34,logviewedCore_w34,logviewedResource_w34,logViewedTargetCourse_w34,logViewedTargetCourseModule_w34,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,16.4,5,160,32,48,40,0,0,40,120,160,120,40,120,40,0,0,6,0,0
1,16.4,5,200,120,0,32,0,0,48,152,200,152,48,152,48,0,0,6,0,0
1,15.6667,3,40,0,40,0,0,0,8,32,40,32,8,32,8,0,0,6,0,0
1,14.5,6,1264,744,0,0,16,0,536,728,1264,728,536,728,536,1,0,6,0,0
1,16.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
1,15.6667,3,104,0,0,0,40,0,32,72,104,72,32,72,32,0,0,3,0,0
1,14.5,4,552,8,24,176,152,0,192,360,552,360,192,360,192,0,0,4,0,0
1,17.25,4,40,0,0,0,40,0,8,32,40,32,8,32,8,0,0,4,0,0
1,14.6667,6,855,369,0,0,252,0,324,531,855,531,324,531,324,0,0,6,1,0
-1,3.5,4,64,64,0,0,0,0,16,48,64,48,16,48,16,0,0,4,0,0
1,18.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
-1,5.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
-1,4.5,4,160,80,80,0,0,0,56,104,160,104,56,104,56,0,0,5,0,0
1,18,2,216,8,40,16,48,0,24,192,216,192,24,192,24,0,0,2,0,0
1,14.75,4,48,0,0,40,0,0,0,48,48,48,0,48,0,1,0,4,0,0
1,14.75,4,256,32,112,64,0,0,48,144,248,144,48,144,96,1,0,4,0,0
1,12.5,4,192,56,0,0,0,0,64,128,192,128,64,128,64,1,0,4,0,0
1,14.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,6,64,0,24,0,0,0,16,48,64,48,16,48,16,0,0,6,0,0
1,19.8333,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18.4,5,744,168,0,0,104,0,296,448,744,448,296,448,296,0,0,6,0,0
0,11.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,14,3,264,0,0,80,128,0,88,176,264,176,88,176,88,0,0,3,1,0
1,18.4,5,1360,96,56,184,136,0,336,1024,1360,1024,336,1024,336,0,0,5,0,0
0,11.5,4,336,0,0,0,40,0,88,248,336,248,88,248,88,0,0,5,0,0
1,18.25,4,216,0,56,40,8,0,64,152,216,152,64,152,64,0,0,5,1,0
1,13.75,4,520,104,0,128,88,0,0,256,488,256,0,256,192,0,0,4,0,0
1,16,4,48,0,0,0,0,0,16,32,48,32,16,32,16,0,0,5,0,0
-1,5.5,2,872,216,24,136,72,1,224,648,872,648,224,648,224,0,1,3,0,0
1,16.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14.4,5,336,152,16,32,0,0,48,288,336,288,48,288,48,0,0,6,0,0
-1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18.4,5,104,0,0,0,32,0,32,72,104,72,32,72,32,0,0,6,0,0
-1,7,5,24,0,0,0,0,0,0,24,24,24,0,16,0,0,0,5,0,0
1,15.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16.8,5,100,40,0,0,10,0,30,70,100,70,30,70,30,0,0,6,0,0
0,11.5,4,32,0,0,0,0,0,8,24,32,24,8,24,8,0,0,5,0,0
-1,4.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14,5,224,48,0,64,40,0,72,152,224,152,72,152,72,0,0,6,0,0
1,17.75,4,104,0,0,32,24,1,24,80,104,80,24,80,24,0,1,6,0,0
1,12.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16,3,456,8,48,208,72,1,128,328,456,328,128,328,128,0,1,4,0,0
0,12,5,400,0,0,0,120,0,232,168,400,168,232,168,232,0,0,6,0,0
1,16.3333,3,184,0,0,32,80,0,64,120,184,120,64,120,64,0,0,4,0,0
1,19,5,32,0,0,32,0,0,0,32,32,32,0,32,0,0,0,6,1,0
-1,6.33333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
-1,5,1,1309,136,0,340,697,0,595,714,1309,714,595,697,595,0,0,1,0,0
1,12.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,16.4,5,24,0,0,0,0,0,0,24,24,24,0,16,0,1,0,5,0,0
1,17.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,17,3,528,8,0,344,32,0,216,312,528,312,216,312,216,0,0,6,1,0
1,17.25,4,96,32,0,0,32,0,24,72,96,72,24,72,24,0,0,6,0,0
1,17.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,13.8,5,312,0,0,0,0,0,184,128,312,128,184,128,184,0,0,6,0,0
1,12.6,5,32,0,0,0,32,0,8,24,32,24,8,24,8,0,0,6,1,0
0,9.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,16.3333,3,1208,200,72,72,368,0,336,872,1208,872,336,872,336,0,0,3,0,0
1,13.3333,6,720,224,0,0,0,0,296,424,720,424,296,424,296,1,0,6,0,0
1,13.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,15.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,12.5,2,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,4,0,0
1,15.6,5,608,8,384,0,216,0,272,336,608,336,272,336,272,0,0,6,1,0
0,11.3333,3,592,144,0,0,80,0,200,392,592,392,200,392,200,1,0,3,0,0
-1,5.66667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,19.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1,17.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,15.2,5,424,8,0,0,0,0,296,128,424,128,296,128,296,0,0,6,0,0
1,15.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
0,8,6,248,0,160,8,0,1,120,128,248,128,120,128,120,0,1,6,1,0
1,15.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
1,18.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,9.2,5,40,0,0,0,0,0,8,32,40,32,8,32,8,0,0,5,0,0
1,17.8,5,120,0,0,0,32,0,40,80,120,80,40,80,40,0,0,6,0,0
0,10.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,18.4,5,224,0,0,0,0,0,56,168,224,168,56,168,56,0,0,6,0,0
1,17,4,96,0,0,0,0,0,16,80,96,80,16,80,16,0,0,5,0,0
-1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,11.5,2,464,0,0,0,0,0,304,160,464,160,304,160,304,0,0,4,0,0
1,13.3333,3,240,40,0,64,0,0,88,152,240,152,88,152,88,0,0,3,0,0
1,14.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,13.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,12,3,120,0,120,0,0,0,48,72,120,72,48,72,48,1,0,4,0,0
1,17.6,5,48,48,0,0,0,0,8,40,48,40,8,40,8,0,0,6,0,0
1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,16.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,12.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,14.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
1,14.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,10.5,2,1208,152,32,88,80,1,336,872,1208,872,336,872,336,0,1,3,0,0
1,16,5,408,0,0,0,80,0,136,272,408,272,136,272,136,0,0,5,0,0
1,18.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,10.8,5,32,0,0,32,0,0,8,24,32,24,8,24,8,0,0,6,0,0
1,19.25,4,456,48,144,48,0,0,160,296,456,296,160,296,160,0,0,6,0,0
1,16,2,240,128,0,16,0,0,80,160,240,160,80,160,80,0,0,4,0,0
1,14.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,16.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.5,4,48,40,0,8,0,0,8,40,48,40,8,40,8,0,0,5,1,0
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,19,4,288,104,0,8,144,0,88,200,288,200,88,200,88,0,0,5,0,0
-1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
-1,9,5,1344,96,80,160,104,0,536,808,1344,808,536,808,536,0,0,6,0,0
1,12.5,2,912,160,64,96,168,1,360,552,912,552,360,552,360,0,1,2,0,0
