classe_num,avgNote_w29,ndevoir_w29,log_w29,logMonday_w29,logSunday_w29,logWed_w29,logThursday_w29,DiffDaysWeek,log_forum,log_core,logviewed_w29,logviewedCore_w29,logviewedResource_w29,logViewedTargetCourse_w29,logViewedTargetCourseModule_w29,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,18.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
-1,6.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
-1,4.5,4,160,80,80,0,0,0,0,104,160,104,56,104,56,1,0,5,0,0
1,17,1,144,8,40,16,24,0,0,128,144,128,16,128,16,0,0,2,0,0
1,15.3333,3,48,0,0,40,0,0,0,48,48,48,0,48,0,0,0,4,0,0
1,15.3333,3,208,32,64,64,0,0,0,112,200,112,32,112,80,0,0,4,0,0
1,12.5,2,160,24,0,0,0,0,0,104,160,104,56,104,56,0,0,4,0,0
1,14.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,5,64,0,24,0,0,0,0,48,64,48,16,48,16,1,0,6,0,0
1,19.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18.4,5,664,168,0,0,104,0,0,400,664,400,264,400,264,0,0,6,0,0
0,11.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,14,3,264,0,0,80,128,0,0,176,264,176,88,176,88,0,0,3,1,0
1,18.4,5,1360,96,56,184,136,0,0,1024,1360,1024,336,1024,336,0,0,5,0,0
0,11.5,4,336,0,0,0,40,0,0,248,336,248,88,248,88,0,0,5,0,0
1,18.25,4,216,0,56,40,8,0,0,152,216,152,64,152,64,0,0,5,1,0
1,14,3,520,104,0,128,88,1,0,256,488,256,0,256,192,0,1,4,0,0
1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
-1,5.5,2,608,184,24,56,72,0,0,448,608,448,160,448,160,0,0,3,0,0
1,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,13,2,304,152,16,0,0,0,0,264,304,264,40,264,40,0,0,6,0,0
-1,9.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18.75,4,104,0,0,0,32,0,0,72,104,72,32,72,32,0,0,6,0,0
-1,6,4,24,0,0,0,0,0,0,24,24,24,0,16,0,0,0,5,0,0
1,15.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
