s,avgNote_w3,ndevoir_w3,log_w3,logsMonday_w3,logSunday_w3,logWed_w3,logThursday_w3,DiffDaysWeek,log_resource,log_core,logviewed_w3,logviewedCore_w3,logviewedResource_w3,logViewedTargetCourse_w3,logViewedTargetCourseModule_w3,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,16,1,424,8,0,0,0,0,296,128,424,128,296,128,296,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,20,1,112,0,0,0,0,0,40,72,112,72,40,72,40,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,424,0,0,0,0,0,296,128,424,128,296,128,296,0,0,4,0,0
1,14,1,96,40,0,56,0,1,0,96,96,96,0,96,0,1,1,3,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,184,8,0,0,8,1,56,128,184,128,56,128,56,0,1,3,0,0
1,0,0,56,0,0,0,0,1,16,40,56,40,16,40,16,0,1,5,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,208,0,0,16,0,1,88,120,208,120,88,120,88,0,1,6,0,0
1,0,0,136,64,0,16,0,0,48,88,136,88,48,88,48,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,1,8,0,0,8,0,0,0,8,8,8,0,8,0,1,0,5,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,8,0,0,0,8,0,0,8,8,8,0,8,0,0,0,5,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
-1,0,0,224,8,48,104,0,1,96,128,224,128,96,128,96,0,1,6,0,0
1,0,0,160,0,0,56,104,0,88,72,160,72,88,72,88,0,0,2,0,0
1,0,0,104,0,0,40,0,1,32,72,104,72,32,72,32,0,1,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,10,1,176,32,0,0,16,0,8,168,176,168,8,168,8,0,0,6,0,0
1,0,0,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,18,1,264,136,0,8,0,1,112,152,264,152,112,152,112,1,1,4,0,0
1,0,0,48,0,0,0,48,0,24,24,48,24,24,24,24,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,112,0,0,0,104,1,40,72,112,72,40,72,40,0,1,2,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,16,0,0,0,0,1,0,16,16,16,0,16,0,0,1,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,0,0,104,0,0,40,0,0,40,64,104,64,40,64,40,0,0,6,0,0
1,0,0,112,40,0,0,40,0,24,88,112,88,24,88,24,0,0,6,1,0
1,0,0,592,128,0,368,0,0,360,232,592,232,360,232,360,0,0,4,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
1,0,0,64,0,64,0,0,0,24,40,64,40,24,40,24,0,0,5,0,0
1,20,1,608,0,0,112,96,1,168,440,608,440,168,440,168,1,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,232,80,0,64,56,1,56,176,232,176,56,176,56,0,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,8,0,0,8,0,0,0,8,8,8,0,8,0,0,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18,1,56,0,56,0,0,0,24,32,56,32,24,32,24,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,16,0,0,16,0,0,0,16,16,16,0,16,0,0,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,0,0,104,40,0,64,0,0,48,56,104,56,48,56,48,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,48,0,0,0,48,0,24,24,48,24,24,24,24,0,0,3,0,0
1,0,0,90,0,0,0,72,0,27,63,90,63,27,63,27,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,18,1,640,72,176,216,32,1,264,376,640,376,264,376,264,1,1,6,0,0
-1,0,0,104,96,0,0,0,1,24,80,104,80,24,80,24,0,1,4,1,0
-1,0,0,80,48,0,0,0,1,24,56,80,56,24,56,24,0,1,4,1,0
1,0,0,549,234,0,135,72,0,198,351,549,351,198,351,198,0,0,4,1,0
1,0,0,432,320,0,112,0,1,184,248,432,248,184,248,184,0,1,6,0,0
1,17,1,80,0,0,0,0,0,48,32,80,32,48,32,48,1,0,6,0,0
1,0,0,72,0,0,0,72,0,32,40,72,40,32,40,32,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,336,112,0,224,0,0,176,160,336,160,176,160,176,0,0,4,0,0
1,0,0,336,0,336,0,0,0,232,104,336,104,232,104,232,0,0,5,0,0
1,0,0,144,0,0,0,56,1,48,96,144,96,48,96,48,0,1,6,0,0
1,0,0,152,0,0,16,24,1,56,96,152,96,56,96,56,0,1,5,0,0
1,15,1,64,0,0,0,24,1,0,64,64,64,0,64,0,1,1,3,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,280,208,0,0,24,1,56,224,280,224,56,224,56,0,1,5,0,0
0,0,0,32,0,0,0,0,0,8,24,32,24,8,24,8,0,0,2,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
0,0,0,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,40,40,0,0,0,0,8,32,40,32,8,32,8,0,0,5,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,0,0,72,0,0,54,9,0,27,45,72,45,27,45,27,0,0,1,1,0
